"","ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","age","gender","gender_factor","time_estimate.1","time_estimate.2","uncertainty","confidence_other","confidence_self_category","confidence_self","social_confidence_factor","norm1","std_error","under","under_factor","copy","stay","diff_conf","heuristic","heuristic_f","interaction","interaction_f","linetype","experiment"
"13",1,73,72,1,62,58,0.0666666666666667,20,3,3,1,32,1,"female",3,4,"Low","Low",1,"Low","3",1.17741935483871,0.293926581924854,1,"overestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
"14",2,35,36,1,62,46,0.0909090909090909,10,3,7,2,41,2,"male",5,9,"Low","High",1,"Low","7",0.564516129032258,-0.318976643881598,-1,"underestimate",0,0,4,2,"Compromise",2,"LH","88","Experiment 1"
"15",2,56,59,1,84,67,0.272727272727273,12,3,4,1,41,2,"male",6,7,"Low","Low",1,"Low","4",0.666666666666667,-0.216826106247189,-1,"underestimate",0,0,1,2,"Compromise",1,"LL","11","Experiment 1"
"16",2,52,55,0,57,63,0.272727272727273,15,4,3,1,41,2,"male",6,8,"High","Low",1,"Low","3",0.912280701754386,0.0287879288405299,-1,"underestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1"
"17",2,40,44,0,98,53,0.307692307692308,19,4,4,1,41,2,"male",5,7,"High","Low",1,"Low","4",0.408163265306122,-0.475329507607734,-1,"underestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
"18",3,60,63,1,93,70,0.3,1,8,7,2,25,2,"male",5,10,"Low","High",2,"High","7",0.645161290322581,-0.238331482591275,-1,"underestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"19",3,29,29,0,84,34,0,2,8,10,2,25,2,"male",3,5,"High","High",2,"High","10",0.345238095238095,-0.538254677675761,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1"
"20",3,23,23,0,58,30,0,3,9,1,1,25,2,"male",7,3,"High","Low",2,"High","1",0.396551724137931,-0.486941048775925,-1,"underestimate",0,1,-8,1,"Stay",3,"HL","3","Experiment 1"
"21",3,25,25,0,79,18,0,4,10,1,1,25,2,"male",4,3,"High","Low",2,"High","1",0.316455696202532,-0.567037076711324,-1,"underestimate",0,1,-9,1,"Stay",3,"HL","3","Experiment 1"
"22",3,28,28,0,94,36,0,6,9,2,1,25,2,"male",5,6,"High","Low",2,"High","2",0.297872340425532,-0.585620432488324,-1,"underestimate",0,1,-7,1,"Stay",3,"HL","3","Experiment 1"
"23",3,51,51,1,44,41,0,7,9,8,2,25,2,"male",7,4,"Low","High",2,"High","8",1.15909090909091,0.275598136177053,1,"overestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"24",3,64,64,1,62,51,0,10,8,4,1,25,2,"male",2,3,"Low","Low",2,"High","4",1.03225806451613,0.148765291602273,1,"overestimate",0,1,-4,1,"Stay",3,"HL","3","Experiment 1"
"25",3,29,29,0,84,34,0,12,8,10,2,25,2,"male",3,3,"High","High",2,"High","10",0.345238095238095,-0.538254677675761,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1"
"26",3,60,60,1,58,49,0,13,8,3,1,25,2,"male",3,4,"Low","Low",2,"High","3",1.03448275862069,0.150989985706834,1,"overestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1"
"27",3,82,82,1,79,67,0,14,8,9,2,25,2,"male",5,3,"Low","High",2,"High","9",1.0379746835443,0.154481910630448,1,"overestimate",0,1,1,1,"Stay",4,"HH","1","Experiment 1"
"28",3,22,22,0,57,38,0,15,8,3,1,25,2,"male",5,3,"High","Low",2,"High","3",0.385964912280702,-0.497527860633154,-1,"underestimate",0,1,-5,1,"Stay",3,"HL","3","Experiment 1"
"29",3,29,29,0,94,35,0,16,8,7,2,25,2,"male",10,3,"High","High",2,"High","7",0.308510638297872,-0.574982134615984,-1,"underestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"30",3,21,21,0,44,27,0,17,9,1,1,25,2,"male",4,4,"High","Low",2,"High","1",0.477272727272727,-0.406220045641129,-1,"underestimate",0,1,-8,1,"Stay",3,"HL","3","Experiment 1"
"31",3,75,75,1,98,91,0,19,8,10,2,25,2,"male",3,4,"Low","High",2,"High","10",0.76530612244898,-0.118186650464876,-1,"underestimate",0,1,2,1,"Stay",4,"HH","1","Experiment 1"
"32",3,71,71,1,62,57,0,20,8,7,2,25,2,"male",5,3,"Low","High",2,"High","7",1.14516129032258,0.261668517408725,1,"overestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"33",4,126,126,0,84,90,0,2,9,3,1,54,2,"male",12,12,"High","Low",2,"High","3",1.5,0.616507227086144,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1"
"34",4,131,122,0,58,103,0.321428571428571,3,7,2,1,54,2,"male",11,9,"High","Low",2,"High","2",2.25862068965517,1.37512791674132,1,"overestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1"
"35",4,104,87,1,94,85,0.894736842105263,6,8,2,1,54,2,"male",6,9,"Low","Low",2,"High","2",1.1063829787234,0.222890205809548,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"36",4,125,87,1,44,72,0.716981132075472,7,9,1,1,54,2,"male",7,8,"Low","Low",2,"High","1",2.84090909090909,1.95741631799523,1,"overestimate",0,0,-8,2,"Compromise",3,"HL","3","Experiment 1"
"37",4,118,94,1,76,94,1,8,7,9,2,54,2,"male",10,10,"Low","High",2,"High","9",1.55263157894737,0.669138806033512,1,"overestimate",1,0,2,3,"Copy",4,"HH","1","Experiment 1"
"38",4,119,97,1,98,95,0.916666666666667,9,9,7,2,54,2,"male",5,9,"Low","High",2,"High","7",1.21428571428571,0.330792941371858,1,"overestimate",0,0,-2,2,"Compromise",4,"HH","1","Experiment 1"
"39",4,119,100,1,93,94,0.76,11,8,7,2,54,2,"male",7,9,"Low","High",2,"High","7",1.27956989247312,0.396077119559262,1,"overestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"40",4,128,117,0,84,90,0.289473684210526,12,9,3,1,54,2,"male",9,14,"High","Low",2,"High","3",1.52380952380952,0.640316750895668,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"41",4,116,93,0,79,93,1,14,8,4,1,54,2,"male",6,7,"High","Low",2,"High","4",1.46835443037975,0.584861657465891,1,"overestimate",1,0,-4,3,"Copy",3,"HL","3","Experiment 1"
"42",4,114,87,0,57,87,1,15,8,10,2,54,2,"male",7,7,"High","High",2,"High","10",2,1.11650722708614,1,"overestimate",1,0,2,3,"Copy",4,"HH","1","Experiment 1"
"43",4,113,90,1,94,90,1,16,9,9,2,54,2,"male",8,8,"Low","High",2,"High","9",1.20212765957447,0.318634886660612,1,"overestimate",1,0,0,3,"Copy",4,"HH","1","Experiment 1"
"44",4,102,85,1,98,85,1,19,7,7,2,54,2,"male",7,11,"Low","High",2,"High","7",1.04081632653061,0.157323553616756,1,"overestimate",1,0,0,3,"Copy",4,"HH","1","Experiment 1"
"45",4,107,83,0,62,83,1,20,10,7,2,54,2,"male",5,6,"High","High",2,"High","7",1.7258064516129,0.842313678699047,1,"overestimate",1,0,-3,3,"Copy",4,"HH","1","Experiment 1"
"46",5,100,94,1,93,67,0.181818181818182,1,9,3,1,28,2,"male",5,6,"Low","Low",2,"High","3",1.0752688172043,0.191776044290445,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"47",5,83,80,0,57,66,0.176470588235294,5,7,1,1,28,2,"male",5,3,"High","Low",2,"High","1",1.45614035087719,0.572647577963337,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"48",5,82,76,0,44,72,0.6,7,7,1,1,28,2,"male",4,3,"High","Low",2,"High","1",1.86363636363636,0.980143590722508,1,"overestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"49",5,84,79,1,58,66,0.277777777777778,13,7,8,2,28,2,"male",4,4,"Low","High",2,"High","8",1.44827586206897,0.56478308915511,1,"overestimate",0,0,1,2,"Compromise",4,"HH","1","Experiment 1"
"50",5,101,97,0,79,81,0.2,14,8,7,2,28,2,"male",14,3,"High","High",2,"High","7",1.27848101265823,0.394988239744372,1,"overestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"51",5,32,36,1,44,40,0.5,17,9,10,2,28,2,"male",5,4,"Low","High",2,"High","10",0.727272727272727,-0.156220045641129,-1,"underestimate",0,0,1,2,"Compromise",4,"HH","1","Experiment 1"
"52",6,77,106,1,93,110,0.878787878787879,1,8,4,1,29,2,"male",5,10,"Low","Low",2,"High","4",0.827956989247312,-0.0555357836665441,-1,"underestimate",0,0,-4,2,"Compromise",3,"HL","3","Experiment 1"
"53",6,50,55,1,58,60,0.5,3,7,10,2,29,2,"male",15,3,"Low","High",2,"High","10",0.862068965517241,-0.0214238073966146,-1,"underestimate",0,0,3,2,"Compromise",4,"HH","1","Experiment 1"
"54",6,71,72,1,79,85,0.0714285714285714,4,10,9,2,29,2,"male",8,6,"Low","High",2,"High","9",0.89873417721519,0.0152414043013339,-1,"underestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"55",6,69,66,1,44,55,0.214285714285714,7,9,8,2,29,2,"male",3,5,"Low","High",2,"High","8",1.56818181818182,0.684689045267962,1,"overestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"56",6,70,76,0,98,84,0.428571428571429,9,8,4,1,29,2,"male",7,4,"High","Low",2,"High","4",0.714285714285714,-0.169207058628142,-1,"underestimate",0,0,-4,2,"Compromise",3,"HL","3","Experiment 1"
"57",6,60,62,1,93,67,0.285714285714286,11,8,3,1,29,2,"male",8,4,"Low","Low",2,"High","3",0.645161290322581,-0.238331482591275,-1,"underestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1"
"58",6,73,82,0,84,87,0.642857142857143,12,7,7,2,29,2,"male",10,4,"High","High",2,"High","7",0.869047619047619,-0.0144451538662369,-1,"underestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"59",6,82,77,0,58,66,0.3125,13,8,3,1,29,2,"male",5,5,"High","Low",2,"High","3",1.41379310344828,0.53030033053442,1,"overestimate",0,0,-5,2,"Compromise",3,"HL","3","Experiment 1"
"60",6,77,87,0,79,93,0.625,14,7,8,2,29,2,"male",3,5,"High","High",2,"High","8",0.974683544303797,0.0911907713899415,-1,"underestimate",0,0,1,2,"Compromise",4,"HH","1","Experiment 1"
"61",6,64,60,1,57,51,0.307692307692308,15,9,1,1,29,2,"male",4,5,"Low","Low",2,"High","1",1.12280701754386,0.239314244630004,1,"overestimate",0,0,-8,2,"Compromise",3,"HL","3","Experiment 1"
"62",6,77,82,1,94,90,0.384615384615385,16,7,3,1,29,2,"male",4,3,"Low","Low",2,"High","3",0.819148936170213,-0.0643438367436432,-1,"underestimate",0,0,-4,2,"Compromise",3,"HL","3","Experiment 1"
"63",6,81,72,0,44,58,0.391304347826087,17,7,4,1,29,2,"male",3,4,"High","Low",2,"High","4",1.84090909090909,0.957416317995235,1,"overestimate",0,0,-3,2,"Compromise",3,"HL","3","Experiment 1"
"64",6,82,77,0,76,65,0.294117647058824,18,8,7,2,29,2,"male",6,9,"High","High",2,"High","7",1.07894736842105,0.195454595507197,1,"overestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"65",6,77,80,1,98,90,0.230769230769231,19,7,3,1,29,2,"male",2,6,"Low","Low",2,"High","3",0.785714285714286,-0.0977784871995703,-1,"underestimate",0,0,-4,2,"Compromise",3,"HL","3","Experiment 1"
"66",6,73,68,1,62,57,0.3125,20,7,7,2,29,2,"male",4,4,"Low","High",2,"High","7",1.17741935483871,0.293926581924854,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"67",7,62,75,0,84,75,1,2,7,7,2,43,1,"female",9,8,"High","High",2,"High","7",0.738095238095238,-0.145397534818618,-1,"underestimate",1,0,0,3,"Copy",4,"HH","1","Experiment 1"
"68",7,35,38,0,76,40,0.6,8,4,10,2,43,1,"female",6,9,"High","High",1,"Low","10",0.460526315789474,-0.422966457124382,-1,"underestimate",0,0,6,2,"Compromise",2,"LH","88","Experiment 1"
"69",7,39,43,0,93,47,0.5,11,4,2,1,43,1,"female",16,9,"High","Low",1,"Low","2",0.419354838709677,-0.464137934204179,-1,"underestimate",0,0,-2,2,"Compromise",1,"LL","11","Experiment 1"
"70",7,52,58,0,84,64,0.5,12,7,7,2,43,1,"female",8,7,"High","High",2,"High","7",0.619047619047619,-0.264445153866237,-1,"underestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"71",7,77,82,1,79,93,0.3125,14,3,4,1,43,1,"female",6,11,"Low","Low",1,"Low","4",0.974683544303797,0.0911907713899415,-1,"underestimate",0,0,1,2,"Compromise",1,"LL","11","Experiment 1"
"72",7,46,51,0,94,55,0.555555555555556,16,4,2,1,43,1,"female",8,8,"High","Low",1,"Low","2",0.48936170212766,-0.394131070786196,-1,"underestimate",0,0,-2,2,"Compromise",1,"LL","11","Experiment 1"
"73",7,15,21,0,44,27,0.5,17,9,1,1,43,1,"female",8,7,"High","Low",2,"High","1",0.340909090909091,-0.542583682004765,-1,"underestimate",0,0,-8,2,"Compromise",3,"HL","3","Experiment 1"
"74",7,52,57,0,62,61,0.555555555555556,20,4,4,1,43,1,"female",5,8,"High","Low",1,"Low","4",0.838709677419355,-0.0447830954945011,-1,"underestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
"75",8,100,100,0,84,81,0,2,7,1,1,45,2,"male",7,10,"High","Low",2,"High","1",1.19047619047619,0.306983417562334,1,"overestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1"
"76",8,110,108,0,94,89,0.0952380952380952,6,3,8,2,45,2,"male",6,5,"High","High",1,"Low","8",1.17021276595745,0.286719993043591,1,"overestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"77",8,99,95,1,98,80,0.210526315789474,9,1,3,1,45,2,"male",3,4,"Low","Low",1,"Low","3",1.01020408163265,0.126711308718797,1,"overestimate",0,0,2,2,"Compromise",1,"LL","11","Experiment 1"
"78",8,93,90,0,62,73,0.15,10,8,8,2,45,2,"male",3,3,"High","High",2,"High","8",1.5,0.616507227086144,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"79",8,101,97,1,93,82,0.210526315789474,11,4,9,2,45,2,"male",5,5,"Low","High",1,"Low","9",1.08602150537634,0.202528732462488,1,"overestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"80",8,85,85,0,84,67,0,12,7,4,1,45,2,"male",5,5,"High","Low",2,"High","4",1.01190476190476,0.128411988990906,1,"overestimate",0,1,-3,1,"Stay",3,"HL","3","Experiment 1"
"81",8,70,69,0,58,58,0.0833333333333333,13,7,7,2,45,2,"male",3,4,"High","High",2,"High","7",1.20689655172414,0.323403778810282,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"82",8,123,122,1,79,100,0.0434782608695652,14,7,7,2,45,2,"male",3,4,"Low","High",2,"High","7",1.55696202531646,0.6734692524026,1,"overestimate",0,0,0,2,"Compromise",4,"HH","1","Experiment 1"
"83",8,91,90,1,57,73,0.0555555555555556,15,4,2,1,45,2,"male",5,4,"Low","Low",1,"Low","2",1.59649122807018,0.71299845515632,1,"overestimate",0,0,-2,2,"Compromise",1,"LL","11","Experiment 1"
"84",9,83,86,1,93,100,0.176470588235294,1,3,10,2,58,1,"female",14,24,"Low","High",1,"Low","10",0.89247311827957,0.0089803453657139,-1,"underestimate",0,0,7,2,"Compromise",2,"LH","88","Experiment 1"
"85",9,108,108,0,84,86,0,2,2,1,1,58,1,"female",15,17,"High","Low",1,"Low","1",1.28571428571429,0.40222151280043,1,"overestimate",0,1,-1,1,"Stay",1,"LL","11","Experiment 1"
"86",9,68,64,0,58,53,0.266666666666667,3,4,8,2,58,1,"female",9,14,"High","High",1,"Low","8",1.17241379310345,0.288921020189592,1,"overestimate",0,0,4,2,"Compromise",2,"LH","88","Experiment 1"
"87",9,61,59,0,57,49,0.166666666666667,5,3,4,1,58,1,"female",11,16,"High","Low",1,"Low","4",1.07017543859649,0.186682665682635,1,"overestimate",0,0,1,2,"Compromise",1,"LL","11","Experiment 1"
"88",9,73,76,1,94,89,0.1875,6,3,8,2,58,1,"female",5,14,"Low","High",1,"Low","8",0.776595744680851,-0.106897028233005,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"89",9,58,54,0,44,46,0.333333333333333,7,3,3,1,58,1,"female",10,9,"High","Low",1,"Low","3",1.31818181818182,0.434689045267962,1,"overestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
"90",9,78,74,0,76,64,0.285714285714286,8,2,1,1,58,1,"female",9,12,"High","Low",1,"Low","1",1.02631578947368,0.142823016559828,1,"overestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1"
"91",9,88,91,0,98,102,0.214285714285714,9,2,1,1,58,1,"female",9,10,"High","Low",1,"Low","1",0.897959183673469,0.0144664107596134,-1,"underestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1"
"92",9,76,81,1,84,91,0.333333333333333,12,4,9,2,58,1,"female",6,9,"Low","High",1,"Low","9",0.904761904761905,0.0212691318480488,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"93",9,62,61,1,58,49,0.0769230769230769,13,4,3,1,58,1,"female",7,10,"Low","Low",1,"Low","3",1.06896551724138,0.185472744327523,1,"overestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1"
"94",9,78,81,0,79,93,0.2,14,3,4,1,58,1,"female",10,7,"High","Low",1,"Low","4",0.987341772151899,0.103848999238043,-1,"underestimate",0,0,1,2,"Compromise",1,"LL","11","Experiment 1"
"95",9,79,82,1,94,95,0.1875,16,3,7,2,58,1,"female",11,10,"Low","High",1,"Low","7",0.840425531914894,-0.0430672409989623,-1,"underestimate",0,0,4,2,"Compromise",2,"LH","88","Experiment 1"
"96",9,64,67,0,76,76,0.25,18,3,8,2,58,1,"female",14,8,"High","High",1,"Low","8",0.842105263157895,-0.0413875097559613,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"97",9,83,84,1,98,99,0.0625,19,4,2,1,58,1,"female",4,7,"Low","Low",1,"Low","2",0.846938775510204,-0.0365539974036518,-1,"underestimate",0,0,-2,2,"Compromise",1,"LL","11","Experiment 1"
"98",9,43,44,1,62,53,0.1,20,4,7,2,58,1,"female",6,9,"Low","High",1,"Low","7",0.693548387096774,-0.189944385817082,-1,"underestimate",0,0,3,2,"Compromise",2,"LH","88","Experiment 1"
"99",10,51,59,0,76,64,0.615384615384615,8,7,1,1,27,2,"male",22,7,"High","Low",2,"High","1",0.671052631578947,-0.212440141334909,-1,"underestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"100",11,55,65,1,93,65,1,1,9,9,2,56,2,"male",6,12,"Low","High",2,"High","9",0.591397849462366,-0.29209492345149,-1,"underestimate",1,0,0,3,"Copy",4,"HH","1","Experiment 1"
"101",11,73,89,0,84,89,1,2,7,1,1,56,2,"male",5,9,"High","Low",2,"High","1",0.869047619047619,-0.0144451538662369,-1,"underestimate",1,0,-6,3,"Copy",3,"HL","3","Experiment 1"
"102",11,65,52,1,58,52,1,3,3,8,2,56,2,"male",8,5,"Low","High",1,"Low","8",1.12068965517241,0.237196882258558,1,"overestimate",1,0,5,3,"Copy",2,"LH","88","Experiment 1"
"103",11,52,60,0,79,61,0.888888888888889,4,4,3,1,56,2,"male",4,5,"High","Low",1,"Low","3",0.658227848101266,-0.22526492481259,-1,"underestimate",0,0,-1,2,"Compromise",1,"LL","11","Experiment 1"
"104",11,21,18,0,62,18,1,10,8,2,1,56,2,"male",8,5,"High","Low",2,"High","2",0.338709677419355,-0.544783095494501,-1,"underestimate",1,0,-6,3,"Copy",3,"HL","3","Experiment 1"
"105",11,54,63,1,84,63,1,12,8,1,1,56,2,"male",3,13,"Low","Low",2,"High","1",0.642857142857143,-0.240635630056713,-1,"underestimate",1,0,-7,3,"Copy",3,"HL","3","Experiment 1"
"106",11,12,26,0,44,27,0.933333333333333,17,7,1,1,56,2,"male",10,5,"High","Low",2,"High","1",0.272727272727273,-0.610765500186583,-1,"underestimate",0,0,-6,2,"Compromise",3,"HL","3","Experiment 1"
"107",12,50,55,0,84,60,0.5,2,10,8,2,30,2,"male",9,11,"High","High",2,"High","8",0.595238095238095,-0.288254677675761,-1,"underestimate",0,0,-2,2,"Compromise",4,"HH","1","Experiment 1"
"108",12,45,45,1,79,54,0,4,10,9,2,30,2,"male",6,11,"Low","High",2,"High","9",0.569620253164557,-0.313872519749299,-1,"underestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"109",12,25,30,0,57,38,0.384615384615385,5,10,3,1,30,2,"male",6,8,"High","Low",2,"High","3",0.43859649122807,-0.444896281685786,-1,"underestimate",0,0,-7,2,"Compromise",3,"HL","3","Experiment 1"
"110",12,60,60,0,94,72,0,6,10,8,2,30,2,"male",7,9,"High","High",2,"High","8",0.638297872340426,-0.24519490057343,-1,"underestimate",0,1,-2,1,"Stay",4,"HH","1","Experiment 1"
"111",12,50,50,1,76,60,0,8,10,9,2,30,2,"male",6,5,"Low","High",2,"High","9",0.657894736842105,-0.225598036071751,-1,"underestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"112",12,70,70,0,98,84,0,9,10,4,1,30,2,"male",6,6,"High","Low",2,"High","4",0.714285714285714,-0.169207058628142,-1,"underestimate",0,1,-6,1,"Stay",3,"HL","3","Experiment 1"
"113",12,45,45,0,93,57,0,11,10,2,1,30,2,"male",6,7,"High","Low",2,"High","2",0.483870967741935,-0.39962180517192,-1,"underestimate",0,1,-8,1,"Stay",3,"HL","3","Experiment 1"
"114",12,75,80,1,84,90,0.333333333333333,12,10,3,1,30,2,"male",9,8,"Low","Low",2,"High","3",0.892857142857143,0.00936436994328693,-1,"underestimate",0,0,-7,2,"Compromise",3,"HL","3","Experiment 1"
"115",12,40,40,0,58,47,0,13,10,8,2,30,2,"male",14,11,"High","High",2,"High","8",0.689655172413793,-0.193837600500063,-1,"underestimate",0,1,-2,1,"Stay",4,"HH","1","Experiment 1"
"116",12,65,75,1,79,80,0.666666666666667,14,10,9,2,30,2,"male",9,11,"Low","High",2,"High","9",0.822784810126582,-0.0607079627872736,-1,"underestimate",0,0,-1,2,"Compromise",4,"HH","1","Experiment 1"
"117",12,50,50,1,57,60,0,15,10,1,1,30,2,"male",9,6,"Low","Low",2,"High","1",0.87719298245614,-0.00629979045771567,-1,"underestimate",0,1,-9,1,"Stay",3,"HL","3","Experiment 1"
"118",12,55,55,0,94,68,0,16,10,9,2,30,2,"male",12,6,"High","High",2,"High","9",0.585106382978723,-0.298386389935133,-1,"underestimate",0,1,-1,1,"Stay",4,"HH","1","Experiment 1"
"119",12,55,45,1,44,45,1,17,10,4,1,30,2,"male",12,7,"Low","Low",2,"High","4",1.25,0.366507227086144,1,"overestimate",1,0,-6,3,"Copy",3,"HL","3","Experiment 1"
"120",12,50,50,0,76,64,0,18,10,1,1,30,2,"male",6,15,"High","Low",2,"High","1",0.657894736842105,-0.225598036071751,-1,"underestimate",0,1,-9,1,"Stay",3,"HL","3","Experiment 1"
"121",12,70,65,1,62,56,0.357142857142857,20,10,7,2,30,2,"male",10,6,"Low","High",2,"High","7",1.12903225806452,0.24553948515066,1,"overestimate",0,0,-3,2,"Compromise",4,"HH","1","Experiment 1"
"122",13,64,64,1,93,67,0,1,7,3,1,29,3,"other",8,13,"Low","Low",2,"High","3",0.688172043010753,-0.195320729903103,-1,"underestimate",0,1,-4,1,"Stay",3,"HL","3","Experiment 1"
"123",13,55,58,0,84,67,0.25,2,4,4,1,29,3,"other",5,10,"High","Low",1,"Low","4",0.654761904761905,-0.228730868151951,-1,"underestimate",0,0,0,2,"Compromise",1,"LL","11","Experiment 1"
"124",13,59,59,1,58,47,0,3,8,8,2,29,3,"other",7,6,"Low","High",2,"High","8",1.01724137931034,0.133748606396489,1,"overestimate",0,1,0,1,"Stay",4,"HH","1","Experiment 1"
"125",13,57,64,1,94,68,0.636363636363636,6,4,9,2,29,3,"other",5,5,"Low","High",1,"Low","9",0.606382978723404,-0.277109794190452,-1,"underestimate",0,0,5,2,"Compromise",2,"LH","88","Experiment 1"
"126",13,74,85,1,98,91,0.647058823529412,9,7,10,2,29,3,"other",4,5,"Low","High",2,"High","10",0.755102040816326,-0.128390732097529,-1,"underestimate",0,0,3,2,"Compromise",4,"HH","1","Experiment 1"
